iter	Passed	Remaining
199	2171	3256
200	2182	3245
201	2193	3235
202	2203	3224
203	2214	3212
204	2224	3201
205	2235	3190
206	2246	3179
207	2257	3168
208	2268	3158
209	2279	3147
210	2290	3136
211	2301	3127
212	2312	3116
213	2324	3105
214	2334	3095
215	2346	3084
216	2356	3073
217	2367	3063
218	2378	3052
219	2389	3041
220	2400	3030
221	2411	3019
222	2422	3008
223	2432	2997
224	2443	2986
225	2454	2976
226	2465	2964
227	2475	2953
228	2486	2942
229	2497	2931
230	2508	2921
231	2519	2910
232	2530	2899
233	2541	2889
234	2552	2878
235	2564	2868
236	2575	2857
237	2586	2847
238	2597	2836
239	2608	2826
240	2618	2814
241	2630	2804
242	2639	2791
243	2648	2778
244	2657	2765
245	2665	2752
246	2674	2739
247	2683	2727
248	2693	2715
249	2704	2704
250	2714	2693
251	2724	2681
252	2735	2670
253	2745	2659
254	2755	2647
255	2768	2638
256	2779	2627
257	2789	2616
258	2800	2605
259	2811	2594
260	2821	2583
261	2832	2573
262	2843	2562
263	2854	2551
264	2864	2539
265	2874	2528
266	2884	2517
267	2895	2506
268	2907	2496
269	2918	2486
270	2930	2475
271	2940	2465
272	2950	2453
273	2958	2440
274	2969	2429
275	2981	2419
276	2992	2409
277	3003	2398
278	3014	2388
279	3025	2377
280	3036	2366
281	3046	2354
282	3056	2343
283	3066	2332
284	3076	2320
285	3086	2309
286	3096	2298
287	3106	2286
288	3116	2275
289	3126	2264
290	3136	2252
291	3146	2241
292	3156	2230
293	3166	2218
294	3176	2207
295	3186	2195
296	3196	2184
297	3206	2173
298	3217	2162
299	3227	2151
300	3237	2140
301	3248	2129
302	3257	2118
303	3267	2106
304	3278	2095
305	3288	2084
306	3298	2073
307	3308	2062
308	3318	2051
309	3329	2040
310	3337	2028
311	3347	2016
312	3357	2006
313	3368	1995
314	3377	1983
315	3386	1971
316	3395	1960
317	3407	1949
318	3418	1939
319	3430	1929
320	3442	1919
321	3453	1909
322	3463	1897
323	3473	1886
324	3483	1875
325	3493	1864
326	3501	1852
327	3510	1840
328	3522	1830
329	3533	1820
330	3541	1808
331	3549	1796
332	3559	1785
333	3567	1773
334	3575	1761
335	3586	1750
336	3597	1740
337	3609	1729
338	3620	1719
339	3632	1709
340	3642	1698
341	3654	1688
342	3665	1677
343	3676	1667
344	3688	1656
345	3699	1646
346	3710	1636
347	3722	1625
348	3733	1615
349	3742	1604
350	3750	1592
351	3760	1581
352	3769	1569
353	3781	1559
354	3797	1551
355	3812	1542
356	3825	1532
357	3838	1522
358	3851	1512
359	3863	1502
360	3875	1492
361	3885	1481
362	3895	1470
363	3905	1459
364	3915	1448
365	3925	1437
366	3935	1426
367	3946	1415
368	3957	1405
369	3969	1394
370	3980	1384
371	3992	1373
372	4004	1363
373	4015	1352
374	4027	1342
375	4038	1332
376	4050	1321
377	4062	1311
378	4070	1299
379	4081	1288
380	4092	1278
381	4104	1267
382	4115	1257
383	4127	1246
384	4139	1236
385	4152	1226
386	4163	1215
387	4171	1204
388	4182	1193
389	4190	1181
390	4199	1170
391	4209	1159
392	4221	1149
393	4232	1138
394	4243	1128
395	4255	1117
396	4267	1107
397	4278	1096
398	4289	1085
399	4301	1075
400	4312	1064
401	4323	1053
402	4334	1043
403	4345	1032
404	4356	1021
405	4368	1011
406	4380	1000
407	4391	990
408	4401	979
409	4410	968
410	4420	957
411	4432	946
412	4443	936
413	4454	925
414	4465	914
415	4476	903
416	4488	893
417	4500	882
418	4513	872
419	4525	861
420	4536	851
421	4547	840
422	4558	829
423	4570	819
424	4582	808
425	4594	798
426	4605	787
427	4611	775
428	4617	764
429	4623	752
430	4629	741
431	4635	729
432	4641	718
433	4647	706
434	4653	695
435	4659	683
436	4665	672
437	4671	661
438	4680	650
439	4686	639
440	4692	627
441	4698	616
442	4704	605
443	4710	594
444	4716	582
445	4722	571
446	4728	560
447	4736	549
448	4743	538
449	4749	527
450	4756	516
451	4762	505
452	4769	494
453	4775	483
454	4784	473
455	4792	462
456	4799	451
457	4808	440
458	4818	430
459	4827	419
460	4836	409
461	4842	398
462	4848	387
463	4854	376
464	4860	365
465	4866	355
466	4872	344
467	4878	333
468	4884	322
469	4890	312
470	4895	301
471	4901	290
472	4907	280
473	4913	269
474	4919	258
475	4926	248
476	4932	237
477	4938	227
478	4944	216
479	4950	206
480	4956	195
481	4962	185
482	4968	174
483	4977	164
484	4983	154
485	4989	143
486	4995	133
487	5001	122
488	5007	112
489	5013	102
490	5020	92
491	5026	81
492	5032	71
493	5038	61
494	5044	50
495	5051	40
496	5057	30
497	5063	20
498	5069	10
499	5075	0
