iter	RMSE
285	12203.63159
286	12167.50567
287	12139.69337
288	12118.7274
289	12093.6871
290	12072.26278
291	12046.93976
292	12023.56353
293	12000.06136
294	11984.30139
295	11963.65972
296	11936.84615
297	11910.39986
298	11885.89512
299	11863.81176
300	11843.66823
301	11813.91143
302	11786.02415
303	11779.10263
304	11750.26886
305	11729.23294
306	11715.40916
307	11689.24774
308	11669.4303
309	11653.07315
310	11628.4622
311	11608.68922
312	11566.09557
313	11553.45761
314	11517.1427
315	11489.36715
316	11472.43812
317	11462.7321
318	11434.09935
319	11404.62293
320	11384.44471
321	11361.17724
322	11342.7856
323	11335.01645
324	11322.31716
325	11308.46537
326	11296.82889
327	11287.45224
328	11258.34108
329	11256.06683
330	11234.0535
331	11204.17681
332	11178.67712
333	11157.50906
334	11155.45229
335	11143.53035
336	11120.45002
337	11098.83124
338	11078.09033
339	11059.82248
340	11057.81839
341	11024.41716
342	11009.77694
343	10986.50635
344	10959.23806
345	10940.88283
346	10920.92929
347	10895.5273
348	10882.60521
349	10875.77034
350	10859.77515
351	10832.37539
352	10805.93258
353	10797.34157
354	10792.95188
355	10769.7882
356	10746.73509
357	10732.78864
358	10711.20323
359	10702.16426
360	10682.91476
361	10658.31353
362	10642.93641
363	10624.2675
364	10601.23539
365	10585.64041
366	10581.10288
367	10564.24126
368	10551.06652
369	10537.34822
370	10526.68984
371	10505.66239
372	10492.95165
373	10477.10026
374	10460.41214
375	10443.8579
376	10421.03971
377	10404.77382
378	10381.98476
379	10370.31986
380	10357.11059
381	10337.01976
382	10322.49194
383	10301.06608
384	10283.44661
385	10274.89577
386	10253.9871
387	10233.43969
388	10219.8082
389	10188.97484
390	10170.89879
391	10160.27447
392	10143.23514
393	10107.69237
394	10084.69986
395	10069.1975
396	10053.69739
397	10037.43578
398	10019.14658
399	10005.16479
400	9983.691353
401	9959.873874
402	9937.504066
403	9922.291884
404	9896.143379
405	9871.571724
406	9846.599189
407	9834.430617
408	9817.599717
409	9811.798331
410	9792.481706
411	9774.649392
412	9755.51446
413	9750.069554
414	9738.803504
415	9720.136353
416	9696.109145
417	9682.958313
418	9662.61338
419	9649.228706
420	9633.070427
421	9616.978341
422	9604.007938
423	9592.295992
424	9579.279345
425	9557.894808
426	9542.740687
427	9530.089229
428	9522.125591
429	9514.947216
430	9493.233965
431	9479.986932
432	9466.54825
433	9447.496227
434	9431.811201
435	9415.686526
436	9399.277305
437	9376.645041
438	9352.752962
439	9343.357819
440	9326.270698
441	9309.497288
442	9289.782934
443	9270.204365
444	9256.148107
445	9237.815044
446	9218.081345
447	9207.97433
448	9194.667652
449	9180.156058
450	9163.636105
451	9152.229483
452	9137.542933
453	9129.963481
454	9119.883164
455	9115.785538
456	9095.011044
457	9087.441383
458	9072.98966
459	9064.262512
460	9047.37037
461	9040.745916
462	9023.41583
463	9005.686862
464	8998.505663
465	8986.366696
466	8980.032737
467	8959.524802
468	8952.25998
469	8937.508227
470	8926.215815
471	8917.319239
472	8905.406674
473	8891.008029
474	8873.726564
475	8864.211967
476	8859.077291
477	8844.007375
478	8834.730967
479	8828.311047
480	8818.215334
481	8812.75779
482	8801.946865
483	8796.098844
484	8778.043996
485	8771.783849
486	8759.624542
487	8741.528226
488	8730.60027
489	8718.645469
490	8707.291324
491	8704.265954
492	8692.960532
493	8677.237769
494	8664.967366
495	8657.410291
496	8647.409937
497	8639.784107
498	8629.079173
499	8627.42278
